model,file,name,value,min,max,index,module,var_sim,description,default
glm_aed,glm3.nml,light/Kw,0.58,0.1,5.52,NA,hydrodynamic,HYD_temp|HYD_thmcln,,
glm_aed,met,MET_wndspd,1,0.7,1.3,NA,hydrodynamic,HYD_temp|HYD_thmcln,,
glm_aed,met,MET_radswd,1,0.7,1.3,NA,hydrodynamic,HYD_temp,,
glm_aed,glm3.nml,mixing/coef_mix_conv,0.14,0.1,0.2,NA,hydrodynamic,HYD_thmcln,,
glm_aed,glm3.nml,mixing/coef_wind_stir,0.21,0.2,0.3,NA,hydrodynamic,HYD_thmcln,,
glm_aed,glm3.nml,mixing/coef_mix_shear,0.14,0.1,0.2,NA,hydrodynamic,HYD_thmcln,,
glm_aed,glm3.nml,mixing/coef_mix_turb,0.56,0.2,0.7,NA,hydrodynamic,HYD_thmcln,,
glm_aed,glm3.nml,mixing/coef_mix_hyp,0.74,0.4,0.8,NA,hydrodynamic,HYD_thmcln,,
glm_aed,glm3.nml,sediment/n_zones,1,1,1,NA,sediment,,,
glm_aed,glm3.nml,sediment/sed_temp_mean,12,6,18,1,sediment,HYD_temp,,
glm_aed,glm3.nml,sediment/sed_temp_peak_doy,30,1,90,1,sediment,HYD_temp,,
glm_aed,wdr,outflow,1,0.5,2.5,NA,hydrodynamic,LKE_lvlwtr,,
glm_aed,inf,inflow,1,0.5,2.5,NA,hydrodynamic,LKE_lvlwtr,,
gotm_wet,gotm.yaml,turbulence/turb_param/k_min,6.32E-07,1.00E-09,1.00E-05,NA,hydrodynamic,HYD_thmcln,,
gotm_wet,gotm.yaml,light_extinction/A/constant_value,0.55,0.395,0.659,NA,hydrodynamic,HYD_temp|HYD_thmcln,,
gotm_wet,gotm.yaml,light_extinction/g1/constant_value,0.59,0.44,0.74,NA,hydrodynamic,HYD_temp|HYD_thmcln,,
gotm_wet,gotm.yaml,light_extinction/g2/constant_value,0.2,0.05,2.7,NA,hydrodynamic,HYD_temp|HYD_thmcln,,
gotm_wet,met,MET_wndspd,1,0.7,1.3,NA,hydrodynamic,HYD_temp|HYD_thmcln,,
gotm_wet,met,MET_radswd,1,0.7,1.3,NA,hydrodynamic,HYD_temp,,
gotm_wet,wdr,outflow,1,0.5,2.5,NA,hydrodynamic,LKE_lvlwtr,,
gotm_wet,inf,inflow,1,0.5,2.5,NA,hydrodynamic,LKE_lvlwtr,,
dy_cd,cfg,light_extinction_coefficient/7,0.9,0.1,1.4,NA,hydrodynamic,HYD_temp|HYD_thmcln,,
dy_cd,dyresm3p1.par,vert_mix_coeff/15,200,50,750,NA,hydrodynamic,HYD_thmcln,,
dy_cd,met,MET_wndspd,1,0.7,1.3,NA,hydrodynamic,HYD_temp|HYD_thmcln,,
dy_cd,met,MET_radswd,1,0.7,1.3,NA,hydrodynamic,HYD_temp,,
dy_cd,wdr,outflow,1,0.5,2.5,NA,hydrodynamic,LKE_lvlwtr,,
dy_cd,inf,inflow,1,0.5,2.5,NA,hydrodynamic,LKE_lvlwtr,,
